hnum,col_name,db_name,table_name,tag,description,unit,data_type
H2508,ct4_vap_avg_temp,mg,h2508_ias_ias_pivot,ct044_44_meas1,CT4 Average Vapor Temperature,degC,FLOAT
H2508,ct1_abs_press,mg,h2508_ias_ias_pivot,ct043_11_meas1,CT1 Vapor Pressure ,mbara,FLOAT
H2508,ct2_abs_press,mg,h2508_ias_ias_pivot,ct043_12_meas1,CT2 Vapor Pressure ,mbara,FLOAT
H2508,ct3_abs_press,mg,h2508_ias_ias_pivot,ct043_13_meas1,CT3 Vapor Pressure ,mbara,FLOAT
H2508,ct4_abs_press,mg,h2508_ias_ias_pivot,ct043_14_meas1,CT4 Vapor Pressure ,mbara,FLOAT
H2508,ct_vap_hdr_fwd_temp,mg,h2508_ias_ias_pivot,gh001_meas1,VAPOR HEADER FWD TEMP,degC,FLOAT
H2508,ct_vap_hdr_aft_temp,mg,h2508_ias_ias_pivot,gh002_meas1,VAPOR HEADER AFT TEMP,degC,FLOAT
H2508,ct_vap_hdr_abs_press,mg,h2508_ias_ias_pivot,gh020_meas1,VAPOR HEADER ABS PRESS,mbara,FLOAT
H2508,reliq_lowpress_inlet_temp,mg,h2508_ias_ias_pivot,pr010_meas1,FRS DCHE- LOW PRESS BOG INLET TEMP H,degC,FLOAT
H2508,reliq_lowpress_outlet_temp,mg,h2508_ias_ias_pivot,pr011_meas1,FRS DCHE- LOW PRESS BOG OUTLET TEMP H,degC,FLOAT
H2508,reliq_highpress_inlet_temp,mg,h2508_ias_ias_pivot,pr012_meas1,FRS DCHE- HIGH PRESS BOG INLET TEMP H,degC,FLOAT
H2508,reliq_highpress_outlet_temp,mg,h2508_ias_ias_pivot,pr013_meas1,FRS DCHE- HIGH PRESS BOG OUTLET TEMP H,degC,FLOAT
H2508,reliq_ct_return_flow,mg,h2508_ias_ias_pivot,pr029_01a_meas1,FRS CONDENSATE  FLOW IND,kg/h,FLOAT
H2508,reliq_lowpress_inlet_press,mg,h2508_ias_ias_pivot,pr020_meas1,FRS DCHE- LOW PRESS BOG INLET PRESS H,bar,FLOAT
H2508,reliq_lowpress_outlet_diff_press,mg,h2508_ias_ias_pivot,pr021_meas1,FRS DCHE- LOW PRESS BOG OUTLET DIFF PRESS H,bar,FLOAT
H2508,reliq_highpress_inlet_press,mg,h2508_ias_ias_pivot,pr022_meas1,FRS DCHE- HIGH PRESS BOG INLET PRESS H,bar,FLOAT
H2508,reliq_highpress_outlet_diff_press,mg,h2508_ias_ias_pivot,pr023_meas1,FRS DCHE- HIGH PRESS BOG OUTLET DIFF PRESS H,bar,FLOAT
